Espèce;tendance annuelle;Intervalle de confiance inférieur;Intervalle de confiance supérieur;pourcentage de variation 2001-2018;significatif;Catégorie de tendance EBCC
Pic mar;1.012;1.005;1.019;22.03;TRUE;Augmentation modérée
Pic noir;1.008;1.001;1.015;14.067;TRUE;Augmentation modérée
Pic vert;0.992;0.988;0.996;-12.663;TRUE;Déclin modéré
Pie bavarde;1.008;1.005;1.011;13.911;TRUE;Augmentation modérée
Pie-grièche à tête rousse;0.978;0.97;0.986;-31.487;TRUE;Déclin modéré
Pie-grièche écorcheur;0.999;0.994;1.004;-1.692;FALSE;Stable
Pigeon biset;1.031;1.025;1.037;67.453;TRUE;Augmentation modérée
Pigeon colombin;1.06;1.052;1.068;167.889;TRUE;Forte augmentation
Pigeon ramier;1.034;1.032;1.036;77.85;TRUE;Augmentation modérée
Pinson des arbres;1.002;1.001;1.003;4.307;TRUE;Augmentation modérée
Pipit des arbres;0.985;0.981;0.989;-23.141;TRUE;Déclin modéré
Pipit farlouse;0.928;0.921;0.935;-71.732;TRUE;Fort déclin
Pipit rousseline;1.018;1.012;1.024;35.82;TRUE;Augmentation modérée
Pouillot de Bonelli;1.028;1.023;1.033;60.407;TRUE;Augmentation modérée
Pouillot fitis;0.956;0.95;0.962;-53.403;TRUE;Déclin modéré
Pouillot siffleur;1.005;0.999;1.011;8.21;FALSE;Stable
Pouillot véloce;0.994;0.992;0.996;-10.487;TRUE;Déclin modéré
Râle d'eau;0.972;0.961;0.983;-38.255;TRUE;Déclin modéré
Roitelet à triple bandeau;1.042;1.036;1.048;102.22;TRUE;Augmentation modérée
Roitelet huppé;0.969;0.963;0.975;-41.344;TRUE;Déclin modéré
Rollier d'Europe;1.035;1.025;1.045;80.127;TRUE;Augmentation modérée
Rossignol philomèle;1;0.998;1.002;-0.274;FALSE;Stable
Rougegorge familier;0.989;0.987;0.991;-16.581;TRUE;Déclin modéré
Rougequeue à front blanc;1.035;1.03;1.04;78.489;TRUE;Augmentation modérée
Rougequeue noir;0.996;0.993;0.999;-5.98;TRUE;Déclin modéré
Rousserolle effarvate;1.022;1.016;1.028;43.988;TRUE;Augmentation modérée
Rousserolle turdoïde;0.991;0.985;0.997;-13.598;TRUE;Déclin modéré
Rousserolle verderolle;0.974;0.966;0.982;-36.614;TRUE;Déclin modéré
Serin cini;0.969;0.965;0.973;-41.043;TRUE;Déclin modéré
Sittelle torchepot;0.992;0.988;0.996;-12.666;TRUE;Déclin modéré
Sterne pierregarin;0.982;0.976;0.988;-26.161;TRUE;Déclin modéré
Tadorne de Belon;1.032;1.027;1.037;69.498;TRUE;Augmentation modérée
Tarier des prés;0.915;0.902;0.928;-77.894;TRUE;Fort déclin
Tarier pâtre;0.983;0.979;0.987;-25.458;TRUE;Déclin modéré
Torcol fourmilier;0.997;0.99;1.004;-4.946;FALSE;Stable
Tournepierre à collier;1.078;1.071;1.085;258.85;TRUE;Forte augmentation
Tourterelle des bois;0.963;0.959;0.967;-47.757;TRUE;Déclin modéré
Tourterelle turque;1.008;1.006;1.01;14.039;TRUE;Augmentation modérée
Troglodyte mignon;0.987;0.985;0.989;-20.482;TRUE;Déclin modéré
Vanneau huppé;0.991;0.983;0.999;-14.414;TRUE;Déclin modéré
Verdier d'Europe;0.959;0.956;0.962;-51.293;TRUE;Déclin modéré
